algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_min_samples_leaf,param_n_estimators,param_subsample,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
GTB,10,20000,56.457966383298235,0.5093806982040405,0.011089320684451395,0.0032373666763305664,0.00013430545193332462,0.03,huber,3,1,100,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",0.01296721564018155,0.18032953840325439,0.19145344674575926,0.5539769591694006,0.032684008623909966,0.5103583105366591,0.34150568329549513,0.4752474142848857,0.5063544213609696,0.266740206448528,0.30716172045090434,0.19087005616103359,1,-27.600319316279425,-19.650358265996505,-18.88446471338548,-15.035612304360798,-18.72391050112615,-14.208272100047886,-21.184624279859662,-14.711871053008176,-14.517842013167316,-27.27449724250564,-19.179177178973706,4.7386885467307165,1,-16.530943903651114,-14.309200560858116,-12.343824140950186,-11.20798548116194,-14.009463277928306,-9.850583999647412,-13.727270621684257,-10.512246486600429,-9.72941744779781,-18.029404561893415,-13.025034048217298,2.6732842076485275,8,19.179177178973706,4.7386885467307165,13.025034048217298,2.6732842076485275,0.30716172045090434,0.19087005616103359
GTB,10,20000,56.457966383298235,0.20278046131134034,0.004081171142947096,0.003148460388183594,0.00027474844794378895,0.03,squared_error,2,5,100,0.7,"{'learning_rate': 0.03, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.0598280303322154,0.22397495835944936,0.06885409174997692,0.5912627962908064,0.11111656148259275,0.40303885920439797,0.37092009846252927,0.3866191738134237,0.5607642356183438,0.2917592796450934,0.29484820242943977,0.20003635997761546,4,-28.5999990258635,-19.120035680047444,-20.265673135605343,-14.39343849850636,-17.948773624274505,-15.688271715180244,-20.706068934410784,-15.905807210021562,-13.694408785783098,-26.805151381766827,-19.31276279914597,4.771221322781927,2,-18.680440147712748,-14.101421017420884,-13.996740734478713,-10.79711509073049,-13.826753494295062,-10.776748487783248,-14.332876536967289,-11.583735565344387,-10.047250292393091,-18.826442666948065,-13.696952403407398,2.9418394661171323,119,19.31276279914597,4.771221322781927,13.696952403407398,2.9418394661171323,0.29484820242943977,0.20003635997761546
GTB,10,20000,56.457966383298235,0.35775222778320315,0.009825301160369284,0.0031380653381347656,0.00011790274840906212,0.03,huber,2,1,100,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",0.010872614501912126,0.15531455740755173,0.15036517853038356,0.526764221292658,0.09831287726143245,0.5142888985527134,0.3618310265799134,0.42326680395886396,0.4839540536376389,0.2592848561768356,0.29842550878999036,0.17872558548961437,2,-27.62958937846236,-19.94795295314732,-19.358349020356066,-15.487497796626164,-18.07758060055437,-14.151128892330627,-20.855115209320573,-15.423327868438744,-14.843578913219257,-27.41280202939072,-19.31869226618462,4.641835677469082,3,-16.571633780435914,-14.37724832619221,-12.393718565625154,-11.640270873884296,-13.567731430832454,-9.93214892221604,-13.621562920889845,-11.131649417171788,-9.674139892091299,-18.083846026376467,-13.099395015571549,2.594011701047196,15,19.31869226618462,4.641835677469082,13.099395015571549,2.594011701047196,0.29842550878999036,0.17872558548961437
GTB,10,20000,56.457966383298235,0.487442946434021,0.013283454938725578,0.0034255504608154295,0.0004925874955306071,0.03,huber,3,5,100,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.017035051372736643,0.18423385112365775,0.15159275488316182,0.5914990169427317,-0.06106477059396709,0.5097873796981043,0.36054756226113027,0.4376941283765531,0.5178210876637283,0.25051393592615556,0.2925589894908519,0.21616077725403698,7,-28.016654726846273,-19.60350240960081,-19.344359220995923,-14.389278712243419,-19.610258589984262,-14.21655323458991,-20.876076234332878,-15.229194220337243,-14.348237167557869,-27.574623970819268,-19.320873848730788,4.880240792003851,4,-16.740700578733147,-13.91011371409745,-12.550577222305526,-10.468988139484054,-14.415623553006876,-9.576165710140842,-13.641580681618038,-10.59836042279591,-9.526208133055214,-17.9103128366415,-12.933863099187857,2.783342245819136,1,19.320873848730788,4.880240792003851,12.933863099187857,2.783342245819136,0.2925589894908519,0.21616077725403698
GTB,10,20000,56.457966383298235,0.3594268798828125,0.015785688637785945,0.003180837631225586,9.732888857967772e-05,0.05,huber,2,5,100,0.7,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.024260629366299247,0.13489129139550693,0.10585402336963112,0.6126912378365432,0.07334835951433016,0.5156154192117923,0.37998241563959045,0.39626714621647197,0.49492320080585717,0.24518386230264977,0.2934496326926074,0.205419236516532,5,-28.116001470101917,-20.187668863134622,-19.858954346268405,-14.01106451526876,-18.326124063063816,-14.13179167814611,-20.55638551310757,-15.78021881504158,-14.684972919510454,-27.672500636002788,-19.3325682819646,4.897018655509229,5,-17.328066437940144,-14.35016484967283,-13.233477462300144,-10.237271661620643,-13.538479715210507,-9.58116356623608,-13.401633634595447,-11.303756569485785,-9.425549367531435,-18.340870464593017,-13.074043372918604,2.906991719267764,11,19.3325682819646,4.897018655509229,13.074043372918604,2.906991719267764,0.2934496326926074,0.205419236516532
GTB,10,20000,56.457966383298235,0.2131211757659912,0.013187486564119617,0.003522014617919922,0.0007160780487153204,0.03,squared_error,2,1,100,0.7,"{'learning_rate': 0.03, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.04918762703721935,0.21139521071217693,0.10715265802024354,0.578988271364279,0.07762229904851747,0.3616488120324315,0.3735225812829175,0.4036268863947131,0.5139980074552718,0.3344407158249434,0.2913207815098275,0.18985044156949227,8,-28.45606850780514,-19.274385265733915,-19.8445277885637,-14.607959934643421,-18.283812980496347,-16.22302760580265,-20.663194383412492,-15.68374035895126,-14.405006716292831,-25.984908432422895,-19.342663197412463,4.474514314723444,6,-18.258240265120573,-14.290620061312765,-13.548248233255968,-10.953669622259236,-14.081157690875349,-11.239827654870078,-14.355047045046845,-11.526102987004998,-10.274733464013838,-18.5452080684071,-13.707285509216675,2.7432161927826675,123,19.342663197412463,4.474514314723444,13.707285509216675,2.7432161927826675,0.2913207815098275,0.18985044156949227
GTB,10,20000,56.457966383298235,0.34200847148895264,0.006257850445819612,0.0031786441802978517,0.00030508456878718495,0.03,huber,2,5,100,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",0.005636049396484322,0.14781248214347154,0.11682013893863386,0.5735402565804525,0.1047238893454312,0.5073370093921444,0.3735205597513036,0.4129967811022973,0.4725132773279569,0.23823722975159478,0.29531376737297704,0.18730753120398672,3,-27.70263009947341,-20.036341022139748,-19.736800112416866,-14.702171767072429,-18.01319999373758,-14.252040280876578,-20.6632277216189,-15.56004531682505,-15.007218523806799,-27.799545110196142,-19.347321994816348,4.755086309343399,7,-16.698303431762287,-14.437327523889698,-12.69530122700482,-11.027857750480294,-13.447230403764939,-9.833840651448357,-13.539911630965168,-11.251073163500203,-9.717271270254457,-18.286631120487915,-13.093474817355816,2.682121844444906,14,19.347321994816348,4.755086309343399,13.093474817355816,2.682121844444906,0.29531376737297704,0.18730753120398672
GTB,10,20000,56.457966383298235,0.553347134590149,0.07972464391381644,0.003429079055786133,0.0004867293330705227,0.05,huber,3,1,100,0.7,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.021523662421403245,0.13135649661604165,0.07091822709440376,0.5472242167055744,0.06052419644384466,0.49305752051772034,0.306049469957688,0.43394695628160584,0.5299395894283028,0.3282532307875352,0.2879746241411313,0.20254357107196835,9,-28.0784114074613,-20.228869767517306,-20.24319851587906,-15.149003537251117,-18.452498234348173,-14.45710762328466,-21.747483317274206,-15.279853174987965,-14.166784185605856,-26.10541556108699,-19.390862532469665,4.636252230133171,8,-16.4956173780768,-14.450163372055894,-13.325246332157743,-11.398228607679936,-13.981922524475857,-9.692803215776237,-14.036000197764986,-10.832037196191301,-9.418303516481336,-17.497682343367153,-13.112800468402725,2.5999867245178416,20,19.390862532469665,4.636252230133171,13.112800468402725,2.5999867245178416,0.2879746241411313,0.20254357107196835
GTB,10,20000,56.457966383298235,0.4266727685928345,0.04293215945706868,0.004168820381164551,0.0021748645477631667,0.1,huber,2,5,100,1.0,"{'learning_rate': 0.1, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 1.0}",-0.0220589396891826,0.06710272693846797,0.15063516666204502,0.6128423604826262,0.18536268913141296,0.4953141084718232,0.2950105105675853,0.4344668935787993,0.5301261020091685,0.1826439882319828,0.29314456063847294,0.20342058320241854,6,-28.085766972250987,-20.963690643384954,-19.35527302839715,-14.008330784541082,-17.182823195997017,-14.424894776330525,-21.919773972067343,-15.27283405299898,-14.163973328131215,-28.796085103953388,-19.41734458580526,5.25080432495104,9,-16.764642065493966,-15.108373243454093,-12.325544761379264,-10.334030914900726,-12.963531671208424,-10.150636912127858,-14.249717597548544,-10.619449720264187,-9.350211945654156,-19.196181886630995,-13.10623207186622,3.051718083031974,19,19.41734458580526,5.25080432495104,13.10623207186622,3.051718083031974,0.29314456063847294,0.20342058320241854
GTB,10,20000,56.457966383298235,0.21059165000915528,0.004943488111499969,0.003978204727172851,0.000633532071718276,0.05,squared_error,2,1,100,0.7,"{'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.03623828432543719,0.2249817741118918,-0.003706568591866022,0.5753253942811999,0.0021323903244694353,0.3445660209692538,0.38354001418174977,0.4016776341921874,0.5847809492247451,0.32642313539220924,0.28034824597604036,0.21741449945894362,19,-28.279917247358036,-19.10762847667918,-21.04047534886343,-14.671368245044066,-19.01729904431961,-16.43866510376125,-20.497325434700603,-15.709350689638171,-13.314751820209368,-26.140951947437074,-19.421773335801078,4.5847186030163165,10,-17.677156281780437,-13.78281386384157,-13.763390958753067,-10.870736193936755,-14.631133242711995,-10.96566821151845,-14.59557206647627,-11.300845516664957,-9.845858088483723,-18.466073623547853,-13.589924804771508,2.7601386831676296,94,19.421773335801078,4.5847186030163165,13.589924804771508,2.7601386831676296,0.28034824597604036,0.21741449945894362
