row_type,fold,n_train,n_test,n_train_blocks,n_test_blocks,R2,RMSE,MAE,RPIQ,Observed_Q25,Observed_Q75,Observed_IQR
FOLD,1.0,346.0,39.0,170.0,19.0,0.012941632158876337,27.600677008389027,17.092082449127954,1.030771817349003,11.399999999999999,39.85,28.450000000000003
FOLD,2.0,346.0,39.0,170.0,19.0,0.30111312152361625,18.144887248117413,13.948459461312273,1.4687332930528414,10.35,37.0,26.65
FOLD,3.0,346.0,39.0,170.0,19.0,0.14188766084841853,19.454686531523024,12.946380702586683,0.7144808001649064,9.5,23.4,13.899999999999999
FOLD,4.0,346.0,39.0,170.0,19.0,0.5475118370693863,15.144191161845804,11.293652574066805,1.9776559659030106,12.3,42.25,29.95
FOLD,5.0,346.0,39.0,170.0,19.0,0.11901291797612756,17.868872212145966,13.332669153522675,1.4438516149028715,12.45,38.25,25.8
FOLD,6.0,347.0,38.0,171.0,18.0,0.34545318098596134,16.42753609217999,11.795853007424082,0.9070136821731198,10.675,25.575,14.899999999999999
FOLD,7.0,347.0,38.0,170.0,19.0,0.37700200889205693,20.60573325873359,13.74780619520879,0.8868890890963212,9.799999999999999,28.075000000000003,18.275000000000006
FOLD,8.0,347.0,38.0,170.0,19.0,0.4403869906814021,15.192684429103753,11.49722771699138,1.8117272249314895,9.825,37.349999999999994,27.524999999999995
FOLD,9.0,347.0,38.0,170.0,19.0,0.5519968690387003,13.830407130622667,9.466508945864152,1.0447993225018994,10.725,25.175,14.450000000000001
FOLD,10.0,347.0,38.0,170.0,19.0,0.32662149853249667,26.13710251063767,18.501205625622834,1.2817028967294928,9.75,43.25,33.5
FOLD_MEAN,,346.5,38.5,170.1,18.9,0.31639277177070424,19.04067775832989,13.362184583172763,1.2567625706804957,10.677499999999998,34.0175,23.339999999999996
FOLD_STD,,0.5270462766947299,0.5270462766947299,0.31622776601683794,0.3162277660168379,0.1797063640256868,4.623542318344773,2.7156835381626108,0.41599003826380787,1.0619328551697085,7.619101087982025,7.246341989046764
OOF_OVERALL,,,385.0,,189.0,0.31676619683559704,19.546624976032522,13.36686593752277,1.258529287289431,10.1,34.7,24.6
