algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
RF,10,20000,61.316133026281996,2.202386999130249,0.5448373562503565,0.25279271602630615,0.012618271158350437,True,,sqrt,5,1000,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 1000}",0.012941632158876337,0.30111312152361625,0.14188766084841853,0.5475118370693861,0.11901291797612756,0.34545318098596134,0.37700200889205693,0.4403869906814021,0.5519968690387003,0.3266214985324968,0.3163927717707042,0.17048442610455472,3,-27.600677008389027,-18.144887248117413,-19.454686531523024,-15.144191161845804,-17.868872212145966,-16.42753609217999,-20.60573325873359,-15.192684429103753,-13.830407130622667,-26.137102510637668,-19.04067775832989,4.386277375243439,1,-17.092082449127947,-13.948459461312273,-12.946380702586683,-11.293652574066806,-13.332669153522675,-11.795853007424084,-13.74780619520879,-11.49722771699138,-9.466508945864152,-18.501205625622834,-13.362184583172763,2.576323615445592,13,19.04067775832989,4.386277375243439,13.362184583172763,2.576323615445592,0.3163927717707042,0.17048442610455472
RF,10,20000,61.316133026281996,2.2250550985336304,0.5442852197613843,0.2553314924240112,0.014068209585085265,True,20,sqrt,5,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 1000}",0.012941632158876337,0.30111312152361625,0.14188766084841842,0.5475118370693863,0.11901291797612756,0.34545318098596134,0.37700200889205693,0.4403869906814021,0.5519968690387003,0.3266214985324968,0.3163927717707043,0.17048442610455478,1,-27.600677008389027,-18.144887248117413,-19.454686531523024,-15.144191161845804,-17.868872212145966,-16.42753609217999,-20.60573325873359,-15.192684429103753,-13.830407130622667,-26.137102510637668,-19.04067775832989,4.386277375243439,1,-17.092082449127954,-13.948459461312273,-12.946380702586683,-11.293652574066805,-13.332669153522675,-11.795853007424082,-13.74780619520879,-11.49722771699138,-9.466508945864152,-18.501205625622834,-13.362184583172763,2.5763236154455935,13,19.04067775832989,4.386277375243439,13.362184583172763,2.5763236154455935,0.3163927717707043,0.17048442610455478
RF,10,20000,61.316133026281996,2.1476035594940184,0.4385822770203161,0.25350949764251707,0.014467064032112004,True,40,sqrt,5,1000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 1000}",0.012941632158876337,0.30111312152361625,0.14188766084841853,0.5475118370693863,0.11901291797612756,0.34545318098596134,0.37700200889205693,0.4403869906814021,0.5519968690387003,0.32662149853249667,0.31639277177070424,0.17048442610455478,2,-27.600677008389027,-18.144887248117413,-19.454686531523024,-15.144191161845804,-17.868872212145966,-16.42753609217999,-20.60573325873359,-15.192684429103753,-13.830407130622667,-26.13710251063767,-19.04067775832989,4.386277375243439,1,-17.092082449127954,-13.948459461312273,-12.946380702586683,-11.293652574066805,-13.332669153522675,-11.795853007424082,-13.74780619520879,-11.49722771699138,-9.466508945864152,-18.501205625622834,-13.362184583172763,2.5763236154455935,13,19.04067775832989,4.386277375243439,13.362184583172763,2.5763236154455935,0.31639277177070424,0.17048442610455478
RF,10,20000,61.316133026281996,4.339540028572083,0.6547416485415487,0.49211437702178956,0.025377354674183228,True,,sqrt,5,2000,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 2000}",0.010976153689693624,0.2998927712052566,0.14216786027212147,0.5504424716236358,0.11952004283057605,0.3437994667338602,0.3797735112038295,0.43808290625177904,0.5471399874448568,0.32210405031649136,0.31538992215721007,0.17037828114739717,4,-27.628143245157077,-18.16072204329452,-19.451510002779163,-15.095069229274445,-17.863728519440578,-16.44827510762454,-20.55984828461721,-15.223928583049913,-13.90517398799688,-26.224628056264187,-19.056102705949847,4.395644108466432,4,-17.155619303014575,-13.983978341092575,-12.999724705790658,-11.229257022724106,-13.347684065789618,-11.856959717314577,-13.786034413190231,-11.51796328485039,-9.513673978133463,-18.56205323749317,-13.395294806939336,2.5911956633844095,22,19.056102705949847,4.395644108466432,13.395294806939336,2.5911956633844095,0.31538992215721007,0.17037828114739717
RF,10,20000,61.316133026281996,4.393522071838379,0.6003802395189014,0.4842939853668213,0.025214737414976606,True,20,sqrt,5,2000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 2000}",0.010976153689693624,0.2998927712052566,0.14216786027212125,0.5504424716236358,0.11952004283057616,0.3437994667338602,0.3797735112038295,0.43808290625177904,0.5471399874448568,0.32210405031649136,0.31538992215721007,0.17037828114739717,4,-27.628143245157077,-18.16072204329452,-19.451510002779166,-15.095069229274447,-17.863728519440574,-16.44827510762454,-20.55984828461721,-15.223928583049913,-13.905173987996882,-26.224628056264187,-19.056102705949847,4.395644108466432,4,-17.15561930301457,-13.983978341092575,-12.999724705790658,-11.229257022724106,-13.347684065789617,-11.856959717314576,-13.786034413190231,-11.51796328485039,-9.513673978133463,-18.56205323749317,-13.395294806939336,2.591195663384409,22,19.056102705949847,4.395644108466432,13.395294806939336,2.591195663384409,0.31538992215721007,0.17037828114739717
RF,10,20000,61.316133026281996,4.542587423324585,0.9932193078941958,0.49813578128814695,0.01505123339001802,True,40,sqrt,5,2000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 2000}",0.010976153689693624,0.2998927712052566,0.14216786027212147,0.5504424716236358,0.11952004283057616,0.3437994667338602,0.3797735112038295,0.43808290625177904,0.5471399874448568,0.3221040503164915,0.31538992215721007,0.17037828114739714,4,-27.628143245157077,-18.16072204329452,-19.451510002779163,-15.095069229274447,-17.863728519440574,-16.44827510762454,-20.55984828461721,-15.223928583049913,-13.90517398799688,-26.224628056264184,-19.056102705949847,4.395644108466431,4,-17.155619303014575,-13.983978341092575,-12.999724705790655,-11.229257022724106,-13.347684065789617,-11.856959717314576,-13.786034413190231,-11.51796328485039,-9.513673978133463,-18.56205323749317,-13.395294806939336,2.5911956633844095,22,19.056102705949847,4.395644108466431,13.395294806939336,2.5911956633844095,0.31538992215721007,0.17037828114739714
RF,10,20000,61.316133026281996,2.7387348890304564,0.7140366092508618,0.25437655448913576,0.01501648595443143,True,,0.5,5,1000,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 1000}",0.012602051977505635,0.2706206593211353,0.13691060043915437,0.5960246327666427,0.05653679879060591,0.3335302184830493,0.39728402003640495,0.44869479072918494,0.5493773373253479,0.3139205866534178,0.31155016965224486,0.18727283940641096,14,-27.605424365396953,-18.536492486201848,-19.511023651834574,-14.309350246182195,-18.49161554972116,-16.576479585934297,-20.267543020956012,-15.079490367047626,-13.870782278332522,-26.38244319793487,-19.063064474954203,4.476718058749685,7,-17.37168196432963,-13.954591191130826,-12.879013698729139,-10.708455579860157,-13.767478035869162,-11.76936950599744,-13.425517183540077,-11.489889960597257,-9.563896867836068,-18.50732711285596,-13.343722110074571,2.6610080792854833,1,19.063064474954203,4.476718058749685,13.343722110074571,2.6610080792854833,0.31155016965224486,0.18727283940641096
RF,10,20000,61.316133026281996,2.719640874862671,0.5595654742198299,0.2521271944046021,0.014167118588598118,True,20,0.5,5,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 1000}",0.012602051977505635,0.2706206593211353,0.13691060043915437,0.5960246327666427,0.056536798790606024,0.3335302184830493,0.39728402003640495,0.44869479072918494,0.5493773373253479,0.3139205866534178,0.31155016965224486,0.18727283940641096,14,-27.605424365396953,-18.536492486201848,-19.511023651834574,-14.309350246182195,-18.49161554972116,-16.576479585934297,-20.267543020956012,-15.079490367047626,-13.870782278332522,-26.38244319793487,-19.063064474954203,4.476718058749685,7,-17.37168196432963,-13.954591191130826,-12.879013698729139,-10.708455579860157,-13.767478035869159,-11.76936950599744,-13.425517183540077,-11.489889960597257,-9.563896867836066,-18.50732711285596,-13.343722110074571,2.6610080792854838,1,19.063064474954203,4.476718058749685,13.343722110074571,2.6610080792854838,0.31155016965224486,0.18727283940641096
RF,10,20000,61.316133026281996,2.772649908065796,0.6464055191067445,0.2559312343597412,0.006605606918093628,True,40,0.5,5,1000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 1000}",0.012602051977505524,0.2706206593211353,0.1369106004391546,0.5960246327666427,0.056536798790606024,0.3335302184830493,0.39728402003640495,0.44869479072918494,0.5493773373253481,0.3139205866534178,0.31155016965224497,0.18727283940641098,13,-27.605424365396956,-18.536492486201848,-19.511023651834574,-14.309350246182195,-18.49161554972116,-16.576479585934297,-20.267543020956012,-15.079490367047626,-13.870782278332522,-26.38244319793487,-19.063064474954203,4.476718058749686,7,-17.371681964329632,-13.954591191130826,-12.879013698729137,-10.708455579860157,-13.767478035869159,-11.769369505997442,-13.425517183540077,-11.489889960597257,-9.563896867836064,-18.50732711285596,-13.343722110074571,2.6610080792854847,1,19.063064474954203,4.476718058749686,13.343722110074571,2.6610080792854847,0.31155016965224497,0.18727283940641098
RF,10,20000,61.316133026281996,1.3893984317779542,0.3826291351565207,0.13264970779418944,0.005220626800160319,True,,0.5,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 500}",0.023801345068800606,0.274621065358826,0.14442995145310566,0.5911805017069505,0.0675689454542947,0.3416148842806803,0.38330343320212235,0.45057137700730254,0.5413814946653361,0.30798739152769916,0.31264603897251175,0.18111176343074006,12,-27.448424398756487,-18.485589307978437,-19.42584639502515,-14.394887403090086,-18.383184140360175,-16.475631650999027,-20.501258222128744,-15.053803972161223,-13.99330265821873,-26.49627493108096,-19.0658203079799,4.458989460122685,10,-17.25553977175695,-13.935325684657906,-12.846364995966907,-10.694911756699213,-13.744837749148168,-11.761959057434083,-13.603978088027858,-11.444480751738274,-9.618704917786136,-18.637149691967846,-13.354325246518334,2.667369415721488,7,19.0658203079799,4.458989460122685,13.354325246518334,2.667369415721488,0.31264603897251175,0.18111176343074006
