row_type,fold,n_train,n_test,n_train_blocks,n_test_blocks,R2,RMSE,MAE,RPIQ,Observed_Q25,Observed_Q75,Observed_IQR
FOLD,1.0,346.0,39.0,170.0,19.0,0.04955607002628959,27.083922865285544,17.517399682886005,1.0504386732124913,11.399999999999999,39.85,28.450000000000003
FOLD,2.0,346.0,39.0,170.0,19.0,0.11121230428942708,20.462083252412878,14.034321488395202,1.3024089322311523,10.35,37.0,26.65
FOLD,3.0,346.0,39.0,170.0,19.0,0.1832195145541522,18.98037726954611,11.70953760604034,0.7323352851527591,9.5,23.4,13.899999999999999
FOLD,4.0,346.0,39.0,170.0,19.0,0.5844122622412811,14.513556039336697,11.002537473848887,2.0635879944808333,12.3,42.25,29.95
FOLD,5.0,346.0,39.0,170.0,19.0,0.006212874875239804,18.9783764020955,14.252575395549934,1.3594418960491947,12.45,38.25,25.8
FOLD,6.0,347.0,38.0,171.0,18.0,0.4757960105593698,14.701181271150956,10.543070776173346,1.013523996825969,10.675,25.575,14.899999999999999
FOLD,7.0,347.0,38.0,170.0,19.0,0.20650336280236226,23.255050970845005,15.047097152738655,0.7858507823918116,9.799999999999999,28.075000000000003,18.275000000000006
FOLD,8.0,347.0,38.0,170.0,19.0,0.5585118375724905,13.494293375752548,10.38476506158751,2.039751118013987,9.825,37.349999999999994,27.524999999999995
FOLD,9.0,347.0,38.0,170.0,19.0,0.6578495342341761,12.08656822818249,8.11914471558119,1.1955420039169309,10.725,25.175,14.450000000000001
FOLD,10.0,347.0,38.0,170.0,19.0,0.38976633946643935,24.88146213226036,18.4970632128511,1.3463838990621524,9.75,43.25,33.5
FOLD_MEAN,,346.5,38.5,170.1,18.9,0.3223040110621228,18.84368718068681,13.110751256565218,1.288926458133728,10.677499999999998,34.0175,23.339999999999996
FOLD_STD,,0.5270462766947299,0.5270462766947299,0.31622776601683794,0.3162277660168379,0.23963297679641896,5.12789141996795,3.3280820519963727,0.4566321388764703,1.0619328551697085,7.619101087982025,7.246341989046764
OOF_OVERALL,,,385.0,,189.0,0.3218231454169076,19.474153547178407,13.118446361406502,1.2632127984614907,10.1,34.7,24.6
