algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_min_samples_leaf,param_n_estimators,param_subsample,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
GTB,10,20000,63.946522482236226,0.3177134275436401,0.00975706316767983,0.0039243936538696286,0.00021051746118593627,0.1,squared_error,3,5,100,0.7,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100, 'subsample': 0.7}",0.04955607002628959,0.11121230428942708,0.1832195145541522,0.5844122622412811,0.006212874875239804,0.4757960105593698,0.20650336280236226,0.5585118375724905,0.6578495342341761,0.38976633946643935,0.3223040110621228,0.22733580274888895,2,-27.083922865285544,-20.462083252412878,-18.98037726954611,-14.513556039336697,-18.9783764020955,-14.701181271150956,-23.255050970845005,-13.494293375752548,-12.08656822818249,-24.88146213226036,-18.84368718068681,4.864744944340128,1,-17.517399682886005,-14.034321488395202,-11.70953760604034,-11.002537473848887,-14.252575395549934,-10.543070776173346,-15.047097152738655,-10.38476506158751,-8.11914471558119,-18.4970632128511,-13.110751256565218,3.15729585727064,67,18.84368718068681,4.864744944340128,13.110751256565218,3.15729585727064,0.3223040110621228,0.22733580274888895
GTB,10,20000,63.946522482236226,0.41258788108825684,0.0105668879627206,0.003904128074645996,0.00021320227204660257,0.1,huber,2,1,100,0.7,"{'learning_rate': 0.1, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.007569997910893855,0.08850309883210039,0.32893126017144014,0.48863001829721353,0.2078605144611677,0.51598050284335,0.11060535001691296,0.5639479048432221,0.5532627407724984,0.40061938489038906,0.32507707772174005,0.20109756710669374,1,-27.885981258072913,-20.721845377109585,-17.204246974183707,-16.099414686216406,-16.94389314063325,-14.126465065219296,-24.62022439026034,-13.41095807647621,-13.810853800521311,-24.659210295314804,-18.94830930640078,4.932483640918866,2,-18.003891648219447,-14.087666987928609,-10.256943743756114,-11.730270417492283,-12.96843334776713,-9.420317901549952,-15.460969795071746,-9.607539243921146,-8.562685015731608,-17.897466933184386,-12.799618503462243,3.301699923135833,14,18.94830930640078,4.932483640918866,12.799618503462243,3.301699923135833,0.32507707772174005,0.20109756710669374
GTB,10,20000,63.946522482236226,1.1012855052947998,0.21537834173710943,0.005986166000366211,0.002490782251063222,0.1,squared_error,3,5,300,0.7,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 300, 'subsample': 0.7}",0.11685875691625691,0.027195379666559494,0.21249294812902209,0.5495326396720976,-0.08855410252292928,0.493612647805425,0.23162459315328865,0.5338377173852671,0.636665143678044,0.3844739458091254,0.3097739669692157,0.23350085282041394,24,-26.107386646473277,-21.407386139507537,-18.637145243601072,-15.110336501662744,-19.86265879617899,-14.449189828306057,-22.88397573011625,-13.866254978933872,-12.455121602612715,-24.989124344710845,-18.976857981210333,4.616989772841476,3,-17.082837458425605,-14.827673369984963,-11.430579141854027,-11.30983263659471,-14.978976628744912,-10.19040200840758,-14.603300511213906,-10.410082396383126,-8.579958512798552,-18.853580744186687,-13.226722340859407,3.1576142636283016,84,18.976857981210333,4.616989772841476,13.226722340859407,3.1576142636283016,0.3097739669692157,0.23350085282041394
GTB,10,20000,63.946522482236226,1.8051206827163697,0.2878986889355983,0.005374884605407715,0.0008150200977245404,0.1,squared_error,3,5,500,0.7,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 500, 'subsample': 0.7}",0.11433990490097512,0.03069600534443062,0.21581666127359078,0.5560982785167584,-0.09483970178187207,0.4856995454448817,0.23840287087874124,0.5279937118135705,0.6304013500219721,0.3871464537812698,0.3091755080194318,0.2327537717161611,27,-26.144591239121453,-21.36883431593784,-18.597774153041026,-14.999814434106732,-19.919922373716823,-14.561647906395388,-22.78281583746434,-13.9529008568047,-12.562024275012519,-24.934816097214416,-18.982514148881524,4.580551037586106,4,-17.08182788968339,-14.933549423796945,-11.376291664776508,-11.260023607357672,-15.052924274017606,-10.311947968487058,-14.670117560515271,-10.449161972127357,-8.718099775666184,-18.84392480665331,-13.269786894308131,3.1394003408773368,93,18.982514148881524,4.580551037586106,13.269786894308131,3.1394003408773368,0.3091755080194318,0.2327537717161611
GTB,10,20000,63.946522482236226,2.8324152708053587,0.38916336535160934,0.006070566177368164,0.0010746446503996515,0.03,squared_error,5,1,500,0.7,"{'learning_rate': 0.03, 'loss': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500, 'subsample': 0.7}",0.11157088824440886,0.13635011424784205,0.23641594170304325,0.5758872399775481,0.08632593603514016,0.4855893182285962,0.13490468413651557,0.4907791057569497,0.5732877992128338,0.3567786201876212,0.31878896477304985,0.18988850123625442,3,-26.18542988122901,-20.170640564693084,-18.351881254975346,-14.661659902238842,-18.197344683951133,-14.563208282150168,-24.281568140450727,-14.49251383795331,-13.497768351288398,-25.545126252176946,-18.994714115110696,4.624897575251976,5,-16.87604138639498,-13.518195311747144,-11.571712835218717,-10.917628245362684,-13.667265902787335,-10.031407508341173,-15.506105112918709,-10.664018233684896,-8.907672026994906,-18.419788420288256,-13.00798349837388,2.979669038210975,48,18.994714115110696,4.624897575251976,13.00798349837388,2.979669038210975,0.31878896477304985,0.18988850123625442
GTB,10,20000,63.946522482236226,1.6653374195098878,0.23207188230737139,0.004861879348754883,0.0007396489194403638,0.03,squared_error,5,1,300,0.7,"{'learning_rate': 0.03, 'loss': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300, 'subsample': 0.7}",0.09964154436422445,0.13178443297947118,0.24272143694693904,0.5752952619061684,0.09389700283913882,0.4827462484345345,0.13804317532499044,0.49408265736957646,0.5767050779077307,0.35169686713121173,0.31866137052039856,0.19053525373703015,4,-26.360645536925865,-20.22388628731603,-18.275951445750245,-14.671888732168343,-18.12179262578429,-14.603397150575246,-24.23748240188323,-14.445427523752281,-13.443611995062263,-25.645837016224522,-19.002992071544234,4.671734354198992,6,-16.96497563966523,-13.561027567904597,-11.515577688204058,-10.952702189657085,-13.678712000722511,-10.10313894770411,-15.482612625821394,-10.550760206201687,-8.961444178057068,-18.51945821771986,-13.02904092616576,3.0035185203841435,53,19.002992071544234,4.671734354198992,13.02904092616576,3.0035185203841435,0.31866137052039856,0.19053525373703015
GTB,10,20000,63.946522482236226,0.39526076316833497,0.019219950673912047,0.0037658214569091797,0.0003507030486730673,0.05,huber,2,1,100,0.7,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",-0.0043984301876982546,0.05955127435312857,0.3059414147571533,0.5637565125578196,0.18717229537248203,0.4456034962516482,0.12927568642712528,0.5335446067098637,0.5798026731699822,0.38570404049380735,0.3185953569905312,0.20490826761414743,5,-27.842057765742112,-21.048366230403186,-17.49646165797143,-14.869862408330514,-17.163727930692584,-15.118625630778283,-24.360437642307673,-13.87061366347962,-13.394332721425627,-24.964142167491936,-19.012862781862296,4.92108885057089,7,-17.650005487235767,-14.417743235655257,-10.324750820700537,-10.829661732687699,-12.634237720932814,-9.858325960579652,-15.031177661251228,-10.029534004681603,-8.973954051773633,-17.564582977483774,-12.731397365298196,3.078572916093003,4,19.012862781862296,4.92108885057089,12.731397365298196,3.078572916093003,0.3185953569905312,0.20490826761414743
GTB,10,20000,63.946522482236226,2.044348192214966,0.3480424148029201,0.004977011680603027,0.0010529130544358028,0.03,huber,2,5,500,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 500, 'subsample': 0.7}",0.013919912058332096,0.014794105641349531,0.3016101637252221,0.5740655142320775,0.10379183569697126,0.42912217178911294,0.16647865403398587,0.6005858843972776,0.5846936911460112,0.36235990514626826,0.31514218378666087,0.22006706218246705,10,-27.586996013430312,-21.54340427099793,-17.55096981373632,-14.693114865839007,-18.02257414161604,-15.341706138087066,-23.834339083188777,-12.835190553371742,-13.316150790979059,-25.43405620264646,-19.01585018738927,5.002691753431232,8,-17.67325580723964,-14.588183866772303,-10.160153676412063,-10.483402753755618,-13.263062925527592,-10.213367636871782,-14.7981923059099,-9.244128157665276,-8.740401671474594,-17.552552354393463,-12.671670115602225,3.1894534531962684,2,19.01585018738927,5.002691753431232,12.671670115602225,3.1894534531962684,0.31514218378666087,0.22006706218246705
GTB,10,20000,63.946522482236226,3.9427502393722533,0.4940406162029415,0.005887627601623535,0.001781548130888182,0.03,huber,5,1,300,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300, 'subsample': 0.7}",0.02932157539922231,0.09782404824615121,0.13737284475982203,0.5677092772875141,0.20858878423823324,0.44633837855708824,0.1490829733482193,0.5107995062321147,0.5958956955403177,0.411343451026447,0.315427653463513,0.20169595627032136,9,-27.37070638567393,-20.615622529134633,-19.505798197925625,-14.802341838411914,-16.93610249075073,-15.1086020333286,-24.081767403382397,-14.204765202946952,-13.135335757932083,-24.437614398821097,-19.0198656238308,4.71947460812519,9,-17.719951585703352,-14.39078828524106,-12.65100711374737,-11.5464398878924,-12.529987147412877,-10.221582647303423,-14.429404686361893,-10.58439559738186,-8.660589663774166,-17.575113091071895,-13.03092597058903,2.8638837829124433,54,19.0198656238308,4.71947460812519,13.03092597058903,2.8638837829124433,0.315427653463513,0.20169595627032136
GTB,10,20000,63.946522482236226,0.6196565389633178,0.013320000771233746,0.00397803783416748,0.0005276408759255498,0.05,huber,3,1,100,1.0,"{'learning_rate': 0.05, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",0.023060256772433285,0.08452282331042771,0.29323974381933127,0.5355996098132596,0.16926445604930596,0.3706653813559688,0.17632353556689795,0.5728284696364232,0.5052810097361858,0.4298014678087445,0.3160586753868978,0.18625397606111302,8,-27.458841257455873,-20.76703961147064,-17.655833466014226,-15.342239559194985,-17.351769470302028,-16.1080468040969,-23.693164996238856,-13.273692925440097,-14.533617661500092,-24.05142791891317,-19.02356736706269,4.485719653376536,10,-17.122933892919153,-14.177883575003547,-10.628230076596434,-11.058288822810159,-13.132683547757164,-10.526661470676848,-14.612236369744345,-9.504174033018836,-9.331273955497274,-16.48761392857443,-12.658197967259818,2.7053901305209602,1,19.02356736706269,4.485719653376536,12.658197967259818,2.7053901305209602,0.3160586753868978,0.18625397606111302
GTB,10,20000,63.946522482236226,6.584729957580566,0.6316892323845579,0.00629572868347168,0.0011062243512681169,0.03,huber,5,1,500,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500, 'subsample': 0.7}",0.03890130386017587,0.1046489617779881,0.12890933790033177,0.5691387867892641,0.19839384002719795,0.4509940503854847,0.1519090943540733,0.4902710177795726,0.5908007075580404,0.41421694360923633,0.3138184044041365,0.19874615184488528,14,-27.235309291201606,-20.53749644469331,-19.60125340063858,-14.777847199328981,-17.044838701752717,-15.044944750012759,-24.041743176415665,-14.49974217075504,-13.21788220596047,-24.37789603763403,-19.03789533783932,4.645957364116341,11,-17.71996029362165,-14.295039962911714,-12.70577654336539,-11.551112217541048,-12.657544521254419,-10.174789447079126,-14.474807838428031,-10.791708253328272,-8.678382224351717,-17.533017193581298,-13.058213849546267,2.836942623719674,62,19.03789533783932,4.645957364116341,13.058213849546267,2.836942623719674,0.3138184044041365,0.19874615184488528
GTB,10,20000,63.946522482236226,1.399284267425537,0.24400021281797363,0.004866194725036621,0.0010239777657742495,0.03,huber,2,5,300,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 300, 'subsample': 1.0}",0.019043908922957486,0.01692110384079093,0.3251549938806365,0.528012548500811,0.1835924663646059,0.47487663962365323,0.14234043897639148,0.6134713740889268,0.4843232625915572,0.38029739807233964,0.31680341348626706,0.20409435692961966,7,-27.515227100266774,-21.520136271271188,-17.2525852984886,-15.467057423858956,-17.201482369796942,-14.714067397624078,-24.1769892373271,-12.626455356497527,-14.83826798802201,-25.0737607502914,-19.03860291934446,4.874609468892108,12,-17.558678140899207,-15.102245282444764,-10.145525050906658,-11.154178081975186,-12.607737281281114,-10.106304731588118,-15.174077912987867,-9.290105771073813,-9.351785649251061,-17.355714867586833,-12.784635276999461,3.0917833047291627,12,19.03860291934446,4.874609468892108,12.784635276999461,3.0917833047291627,0.31680341348626706,0.20409435692961966
GTB,10,20000,63.946522482236226,0.535732102394104,0.06586085246640976,0.004162907600402832,0.0007117611811791725,0.03,squared_error,5,1,100,0.7,"{'learning_rate': 0.03, 'loss': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7}",0.06575783142794389,0.14546470701470182,0.25932203407821,0.5433303338535298,0.1661514900465274,0.4786395379480187,0.1266053270493378,0.455586683625681,0.5959726699222271,0.34497039239394056,0.31818010073601183,0.1816679202197759,6,-26.852087305607064,-20.06392208108818,-18.07452432785044,-15.214004984092558,-17.38424969893204,-14.661254013106868,-24.397763649699893,-14.98493922400755,-13.134084679320976,-25.778537995814187,-19.054536795951975,4.743386946537071,13,-17.405983604225273,-13.585315557775694,-11.613508885838375,-11.192456824711684,-13.330480156514854,-10.101905014073532,-15.568181410392068,-10.92510210573788,-9.218325488623467,-18.59783247222083,-13.153909152011366,2.995892099174669,73,19.054536795951975,4.743386946537071,13.153909152011366,2.995892099174669,0.31818010073601183,0.1816679202197759
GTB,10,20000,63.946522482236226,2.9183619022369385,0.4783904233306652,0.006089615821838379,0.001177452084204886,0.03,huber,5,5,300,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 300, 'subsample': 0.7}",0.0687927577871903,0.09590629550290397,0.19854379706254432,0.5833463105127933,0.13953074823392486,0.3990060920552916,0.12005018681677804,0.5781106424031806,0.5447009638470224,0.39521891500503337,0.3123206709226663,0.1995987945189704,17,-26.80843673923497,-20.637522181120982,-18.80148105013934,-14.532157216792509,-17.659566997143546,-15.741173530456223,-24.489149482166884,-13.191369979484833,-13.942569103489332,-24.770051964077478,-19.05734782441061,4.677393148659288,14,-16.902156868163225,-14.42728770375854,-11.539314707799551,-10.653858888337805,-13.056228109582035,-10.46439616652826,-15.379095979452146,-9.856152818028674,-8.810063105889236,-17.137112624909264,-12.822566697244875,2.850170617944519,18,19.05734782441061,4.677393148659288,12.822566697244875,2.850170617944519,0.3123206709226663,0.1995987945189704
GTB,10,20000,63.946522482236226,2.9613890647888184,0.4284504554155591,0.0051163434982299805,0.0006559722915577888,0.03,huber,3,5,500,0.7,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 500, 'subsample': 0.7}",0.07226731533939912,0.038124127408761255,0.19916307187604743,0.5739190709683875,0.11421199257320347,0.3964412516464414,0.23646491453956664,0.5787535726382473,0.5394989323671529,0.3621021866447808,0.3110946436001988,0.19778391261994108,19,-26.75837564463422,-21.286798348317458,-18.794215816149535,-14.695640515733889,-17.91749413166453,-15.774726794347918,-22.811783942162933,-13.181314778900068,-14.021993482107177,-25.439195594532972,-19.06815390485507,4.584212440634245,15,-16.93318475444365,-14.405341133873913,-11.06318012312963,-10.757168979961698,-13.47350478392808,-10.34275594028755,-14.26399008176082,-9.550612612094683,-8.917039138447452,-17.87101064192176,-12.757778818984924,2.946492632814541,8,19.06815390485507,4.584212440634245,12.757778818984924,2.946492632814541,0.3110946436001988,0.19778391261994108
GTB,10,20000,63.946522482236226,1.9688981771469116,0.3315250566178041,0.004844355583190918,0.0009804361046564746,0.03,huber,3,1,300,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 300, 'subsample': 1.0}",0.03353187389279699,-0.013352433015408227,0.21464849766738991,0.529399423583401,0.17828832059590327,0.4410487487818272,0.20138015477133342,0.5699282129510035,0.4774039138440046,0.4566460428872665,0.30889227559595184,0.20040433782765035,29,-27.31128192838807,-21.848976007242708,-18.611621143332798,-15.44431671609705,-17.257270350625788,-15.180603532198312,-23.33000325744187,-13.318677189732531,-14.937486184961525,-23.478439870725342,-19.0718676180746,4.417554063681825,16,-16.72642543203333,-14.891895751536454,-11.056762074125746,-11.343330817135499,-12.555923158349843,-10.259876096573981,-14.818631708117394,-9.500422156248085,-9.361200832393104,-16.280519948851836,-12.679498797536528,2.6499368366821043,3,19.0718676180746,4.417554063681825,12.679498797536528,2.6499368366821043,0.30889227559595184,0.20040433782765035
