algorithm,fixed_spatial_folds,fixed_block_size_m,search_runtime_minutes,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,split5_test_RMSE,split6_test_RMSE,split7_test_RMSE,split8_test_RMSE,split9_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,split5_test_MAE,split6_test_MAE,split7_test_MAE,split8_test_MAE,split9_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_CV_RMSE,std_CV_RMSE,mean_CV_MAE,std_CV_MAE,mean_CV_R2,std_CV_R2
RF,10,20000,83.5958689292272,2.881679558753967,0.7222323833516527,0.27730960845947267,0.012820423744974347,True,20,sqrt,1,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 1000}",0.06964205093659326,0.23603466846641064,0.23652876364500797,0.5630875999038527,0.19061296294166696,0.4390750158729325,0.24048883128406828,0.5222031773411693,0.5676266371962388,0.36514096733955126,0.3430440674927492,0.16491291387914506,1,-26.796208840676943,-18.970887819780806,-18.350525430855154,-14.881258371160875,-17.127362715547108,-15.207382301297155,-22.751594187703013,-14.03822648485034,-13.587010326366196,-25.378530375883436,-18.7088986854121,4.515425246966839,1,-17.903701451187672,-13.321927609311746,-12.135661200776598,-11.586181324566898,-13.287630286579187,-10.60127713982125,-14.860524654087502,-10.79060634726163,-9.454689115317732,-18.489868896049895,-13.24320680249601,2.8842999017933746,9,18.7088986854121,4.515425246966839,13.24320680249601,2.8842999017933746,0.3430440674927492,0.16491291387914506
RF,10,20000,83.5958689292272,1.4445989847183227,0.44735088557981767,0.1444847345352173,0.0064894405949610596,True,20,sqrt,1,500,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.07975870968135912,0.23290169746643297,0.22685788269784968,0.5707613908078898,0.1749944784219455,0.44247727085147637,0.23431823967689858,0.5237331858980424,0.5509228701582813,0.37965420156863994,0.34163799272288153,0.16551028599497553,3,-26.65012040015988,-19.009747195046664,-18.466382637151987,-14.749994596560608,-17.291823756943323,-15.161192447080765,-22.843829039390492,-14.015731746506237,-13.8469750395457,-25.08676954892894,-18.71225664073146,4.437549539478891,2,-17.719543910270787,-13.48574440378989,-12.281466137026325,-11.570842346112421,-13.307801002812129,-10.625472665656835,-15.012895472580025,-10.812417607875815,-9.617359826208185,-18.33011284023247,-13.276365621256488,2.8058472722560834,31,18.71225664073146,4.437549539478891,13.276365621256488,2.8058472722560834,0.34163799272288153,0.16551028599497553
RF,10,20000,83.5958689292272,5.728850960731506,1.1099964854805717,0.5345013380050659,0.022655533103168767,True,20,sqrt,1,2000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 2000}",0.06452322298387303,0.23455374001925022,0.22412931007280135,0.5650354289169042,0.19879442022827787,0.43908171840767174,0.23786071417935195,0.5238054395752489,0.573088670791117,0.36398055555736675,0.3424853220731864,0.16729914306886445,2,-26.86982407101866,-18.989266222778824,-18.498939709760315,-14.848049740214945,-17.040579329462297,-15.207291443949437,-22.79092357469443,-14.014668554049111,-13.500917400937622,-25.401713554567543,-18.716217360143318,4.552901461997359,3,-17.89657613087919,-13.390188209818724,-12.142014811696924,-11.530958678723238,-13.299915640180169,-10.65940973482677,-14.857375514117564,-10.75575047344737,-9.340165697785155,-18.498117893845382,-13.23704727853205,2.9006811427966994,8,18.716217360143318,4.552901461997359,13.23704727853205,2.9006811427966994,0.3424853220731864,0.16729914306886445
RF,10,20000,83.5958689292272,5.75638358592987,1.1596847348830612,0.5557012796401978,0.022838249762546572,True,,sqrt,1,2000,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 2000}",0.06396046177206005,0.2306981756035691,0.21523157157778317,0.5658294456271462,0.20053374610472396,0.43004886717616564,0.24415432790751435,0.5196491643437844,0.5721203337073935,0.3549854841321375,0.3397211577952278,0.16668362271489778,4,-26.877904988501207,-19.037030761573966,-18.60471088362316,-14.834491181987344,-17.022072703574345,-15.329249127255377,-22.696626757058205,-14.075696415198365,-13.516220384324585,-25.580708097727012,-18.757471130082358,4.556975471000079,4,-17.919394871794886,-13.361406410256382,-12.202828205128219,-11.523538461538438,-13.238841025641067,-10.731538157894743,-14.810915789473698,-10.76650394736839,-9.377857894736843,-18.611788157894715,-13.254461292172738,2.908297458807815,16,18.757471130082358,4.556975471000079,13.254461292172738,2.908297458807815,0.3397211577952278,0.16668362271489778
RF,10,20000,83.5958689292272,5.968318676948547,1.2701951962266123,0.5538914203643799,0.023000435692651512,True,40,sqrt,1,2000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 2000}",0.06396046177206027,0.2306981756035691,0.21523157157778305,0.5658294456271462,0.20053374610472385,0.43004886717616553,0.24415432790751435,0.5196491643437844,0.5721203337073935,0.3549854841321375,0.3397211577952278,0.16668362271489776,4,-26.877904988501204,-19.037030761573966,-18.604710883623163,-14.834491181987344,-17.022072703574345,-15.329249127255379,-22.696626757058205,-14.075696415198365,-13.516220384324585,-25.580708097727012,-18.757471130082358,4.5569754710000785,4,-17.91939487179489,-13.361406410256382,-12.202828205128219,-11.523538461538442,-13.238841025641067,-10.731538157894743,-14.810915789473702,-10.76650394736839,-9.377857894736843,-18.611788157894715,-13.25446129217274,2.908297458807816,17,18.757471130082358,4.5569754710000785,13.25446129217274,2.908297458807816,0.3397211577952278,0.16668362271489776
RF,10,20000,83.5958689292272,1.4349501609802247,0.39035896234473344,0.14549098014831544,0.008060446958570253,True,,sqrt,1,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.07240719609706525,0.23227808128115934,0.21506947388494857,0.5612452677580253,0.18787215561335535,0.42689165354415826,0.23676061688835437,0.5167438458739354,0.5538203147718503,0.3658049752617031,0.33688935809745557,0.1632927083288431,8,-26.75635829469037,-19.01747265710116,-18.606632230663863,-14.912600328821922,-17.156337190013364,-15.371648266755336,-22.80736623337202,-14.11819944465113,-13.802232427324748,-25.365255024208967,-18.79141020976029,4.4610893173573665,6,-17.774943589743586,-13.482241025641033,-12.339461538461538,-11.604548717948719,-13.274333333333326,-10.778426315789474,-14.966,-10.950384210526318,-9.661500000000004,-18.515605263157898,-13.334744399460188,2.8096247590680967,53,18.79141020976029,4.4610893173573665,13.334744399460188,2.8096247590680967,0.33688935809745557,0.1632927083288431
RF,10,20000,83.5958689292272,1.480646586418152,0.4283114013680485,0.15027787685394287,0.006606144108205368,True,40,sqrt,1,500,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.07240719609706525,0.23227808128115934,0.21506947388494868,0.5612452677580253,0.18787215561335535,0.42689165354415815,0.23676061688835437,0.5167438458739353,0.5538203147718503,0.3658049752617031,0.33688935809745557,0.16329270832884307,8,-26.75635829469037,-19.01747265710116,-18.606632230663863,-14.912600328821922,-17.156337190013364,-15.371648266755338,-22.80736623337202,-14.11819944465113,-13.802232427324748,-25.36525502420897,-18.79141020976029,4.4610893173573665,6,-17.774943589743586,-13.482241025641033,-12.339461538461538,-11.60454871794872,-13.274333333333326,-10.778426315789474,-14.965999999999996,-10.950384210526318,-9.661500000000004,-18.515605263157898,-13.334744399460188,2.8096247590680967,53,18.79141020976029,4.4610893173573665,13.334744399460188,2.8096247590680967,0.33688935809745557,0.16329270832884307
RF,10,20000,83.5958689292272,2.821164035797119,0.7126548068938555,0.27612056732177737,0.008569920342653546,True,,sqrt,1,1000,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 1000}",0.06497955976678449,0.22859515678349285,0.23007091455492545,0.5559418416508997,0.19381587664522326,0.4259026350594267,0.24543746197086547,0.5149558508592,0.5641323349478131,0.3528367013720175,0.3376668333610648,0.16291374902864933,6,-26.86326956047932,-19.063033501484437,-18.427971297863245,-15.002457268257675,-17.093440845975728,-15.384906048727027,-22.677353520261036,-14.144293229249723,-13.641802765927752,-25.623282086456165,-18.792181012468212,4.517670763261284,8,-17.958302564102567,-13.3683358974359,-12.178933333333333,-11.633930769230767,-13.300938461538452,-10.73728157894737,-14.810655263157903,-10.845107894736842,-9.539644736842106,-18.66395263157894,-13.303708313090416,2.890073578794401,48,18.792181012468212,4.517670763261284,13.303708313090416,2.890073578794401,0.3376668333610648,0.16291374902864933
RF,10,20000,83.5958689292272,2.9385257720947267,0.67007055237454,0.28391156196594236,0.012040998185107307,True,40,sqrt,1,1000,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 1000}",0.06497955976678449,0.22859515678349285,0.23007091455492534,0.5559418416508997,0.19381587664522326,0.4259026350594266,0.24543746197086547,0.5149558508592,0.5641323349478131,0.3528367013720175,0.3376668333610648,0.16291374902864933,6,-26.86326956047932,-19.063033501484437,-18.427971297863248,-15.002457268257675,-17.093440845975728,-15.384906048727029,-22.677353520261036,-14.144293229249723,-13.641802765927752,-25.623282086456165,-18.792181012468212,4.517670763261284,8,-17.95830256410257,-13.3683358974359,-12.178933333333333,-11.633930769230767,-13.300938461538452,-10.73728157894737,-14.810655263157903,-10.845107894736842,-9.539644736842106,-18.66395263157894,-13.30370831309042,2.890073578794402,49,18.792181012468212,4.517670763261284,13.30370831309042,2.890073578794402,0.3376668333610648,0.16291374902864933
RF,10,20000,83.5958689292272,2.9037142276763914,0.6812989409074502,0.1462458848953247,0.004664723227516727,True,,0.5,1,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.06542635134279684,0.21447516457026317,0.21627598507861345,0.5810417545352442,0.1815929447718755,0.43663505546323567,0.20197517084768846,0.5432414442326494,0.5831008885924349,0.3420279173275039,0.3365792676762306,0.17841808757461353,10,-26.856850600974735,-19.236709680725372,-18.59232666950644,-14.572291252359392,-17.222534173040213,-15.240421609791861,-23.3213105648483,-13.725682910898325,-13.341661722352445,-25.836373328945225,-18.79461625134423,4.7294171188909795,10,-18.108061538461538,-13.267861538461549,-12.029502564102556,-11.19257948717949,-13.463538461538452,-10.62532631578947,-15.320731578947363,-10.321621052631583,-9.23913684210527,-18.603247368421062,-13.217160674763832,3.06357656513218,4,18.79461625134423,4.7294171188909795,13.217160674763832,3.06357656513218,0.3365792676762306,0.17841808757461353
